group,index
15,EMP3
15,RPS15A
15,RPL19
15,RPL18
15,RPS23
15,RPL3
15,HLA-A
15,RPL6
15,RPL23A
15,RPLP1
15,S100A4
15,RPL10A
15,LIMD2
15,RPL34
15,RPL35A
15,RPLP0
15,TOMM7
15,LSP1
15,RPL31
15,RPL18A
15,RPL23
15,RPLP2
15,RPL14
15,RPL5
15,CD44
15,RPS25
15,EEF1A1
15,PFN1
15,NDUFA4
15,ZFP36L2
16,GZMB
16,FIBP
16,CD7
16,CSTF1
16,CYB561
16,CD52
16,CD68
16,BTG3
16,GNLY
16,IGFLR1
16,R3HDM1
16,TRAF1
16,TMEM39B
16,RCSD1
16,PTTG1
16,HBEGF
16,CUEDC2
16,STAT1
16,POLD2
16,IRF1
16,IL12RB1
16,CD53
16,FBXO30
16,BST2
16,SLC35B3
16,ICAM3
16,IFNGR1
16,MDH1
16,RUVBL2
16,GAB3
16,THUMPD2
16,MMD
16,UBAP2
16,CCR1
16,SH3KBP1
16,THOP1
16,TNFRSF1A
16,MDC1
16,METRNL
16,CLEC7A
16,COX10
16,EIF2B2
16,CDC123
16,ZEB2
16,CHD1L
16,CD151
16,DUSP5
16,CHD4
16,ALCAM
16,HTRA2
16,RNPS1
16,WRAP53
16,TRAF3IP2
16,NUP205
16,SKAP1
16,ADAM8
16,CD59
16,PPM1G
16,IFNGR2
16,PSMD3
16,SAV1
16,TTLL5
16,CD48
16,ENC1
16,WDR18
16,CD4
16,MAN1B1
16,ITGAE
16,SNRPC
16,MNAT1
16,STAT4
16,TRIM28
16,FURIN
16,BHLHE40
16,CD44
16,CD47
16,HAVCR2
16,TACO1
17,EVI5
17,TAF1B
17,CDK2AP1
17,FMN1
17,IL11RA
17,OSBPL1A
17,THADA
17,LIMA1
17,RNF125
17,IFIT3
17,GALT
17,HELLS
17,BAG2
17,AHI1
17,IL4R
17,MICAL2
17,CXCR4
17,DUSP6
17,SMAD2
17,RAD50
17,RNF34
17,TMEM39B
17,PTPRC
17,CD4
17,SLC25A44
17,NUP37
17,IFIT2
17,UBAP2
17,RAB27B
17,MFHAS1
17,STAT6
17,MAD2L1
17,PDE4B
17,DHFR
18,SOCS1
18,SKAP1
18,SAMHD1
18,SMAD4
18,LRP1
18,USP15
18,ENTPD1
18,SELPLG
18,CLEC2D
18,RCAN3
18,HAPLN3
18,B3GNT2
18,CCM2
18,NFATC3
18,MS4A6A
18,STAT5A
18,RNF214
18,BANP
18,BATF
18,GZMM
18,SPOCK2
18,STAT5B
18,TTC39C
18,CD52
18,ISG20
18,ATG2B
18,CPNE2
18,LTB
18,METTL7A
18,RTKN2
18,ARID5B
18,STAM
18,VPS54
18,ICA1
18,BIRC3
18,ST8SIA4
18,PPM1B
18,SMAD2
18,PELO
18,S1PR4
18,PDP1
18,PRDM1
18,CD4
18,CDC25B
18,FAM110A
18,GBP2
18,FRMD8
18,ITGAE
18,LRRC42
18,PLEK
18,ZCCHC8
18,CLDND1
18,GLRX
18,LIPA
18,ATP2B1
18,TRIM16
18,ELK3
18,CASP2
18,LGALS1
18,UBE4A
18,CORO1B
18,DGKA
18,FOXO3
18,MNDA
18,HS3ST3B1
18,IL10RA
18,LMNA
18,CORO7
18,LGALS3
18,CMTM7
