B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
CLECL1,,HSPG2,THY1,,,STAP1,RNF130,,IL2RA,MZB1,IGLV5-48,,,,,SRPK2,,SGSM3,,,,,,LGALS3,,
CLK1,,HYAL2,TMEM119,,,STXBP6,TMSB4X,,IL2RB,TCF4,IGLV6-57,,,,,STK10,,SH3YL1,,,,,,LIPA,,
CMTM6,,ID1,TPM1,,,CCL1,TNFSF13B,,IL32,CXCR3,IL5RA,,,,,SYNE1,,SINHCAF,,,,,,LMNA,,
COCH,,IL3RA,TPM2,,,CCL20,APLP2,,IL7R,DCK,IRF4,,,,,TAGLN2,,SMAP2,,,,,,LRP1,,
COX7C,,ITGB4,TPST1,,,CSF2,GLIPR1,,ITGA1,DERL3,ITGA8,,,,,TBX21,,SNED1,,,,,,LRRC42,,
CR2,,JUP,VASN,,,CXCL3,ATP6V1F,,ITGA5,SLC15A4,JCHAIN,,,,,TGFBR3,,SNHG29,,,,,,LTA,,
CTSS,,KDR,MMP11,,,GZMB,IFITM3,,ITGAE,,JSRP1,,,,,TM4SF19,,SNHG32,,,,,,MARCO,,
CXCR4,,KLF4,TGFB3,,,HOXA1,NPC2,,ITGAM,,KCNMA1,,,,,TM4SF19-DYNLT2B,,SNURF,,,,,,METTL7A,,
CXCR5,,LDB2,,,,IL1A,CD53,,KIR2DL1,,KCNN3,,,,,TPST2,,SOCS3,,,,,,MMP12,,
CYBA,,LIMS3,,,,IL1B,COX5B,,KIR2DL3,,KDELR1,,,,,TTC16,,SPINT2,,,,,,MNDA,,
CYRIB,,LYVE1,,,,IL1RL1,ITGB2,,KIR2DL4,,KDELR2,,,,,TTC38,,SPTBN1,,,,,,MRC1,,
DENND5B,,LYVE1,,,,IL3,SERF2,,KIR2DS4,,KDELR3,,,,,USP28,,STMN3,,,,,,MS4A6A,,
DRAM2,,MALL,,,,IL5,CSTB,,KIR3DL1,,KRTCAP2,,,,,VCL,,TCF7,,,,,,NFATC3,,
DTNB,,MATN2,,,,LINC00597,EVI2B,,KIR3DL2,,LINC00582,,,,,VEZF1,,THAP7,,,,,,PDP1,,
EAF2,,MMRN1,,,,TEC,OAZ1,,KIR3DL3,,LINC01480,,,,,WDR37,,THEM4,,,,,,PELO,,
EBF1,,MMRN2,,,,,SERPINA1,,KIT,,LINC02362,,,,,ZEB2,,TMEM123,,,,,,PI16,,
EEF1A1,,MYCT1,,,,,FGR,,KLRB1,,LMAN1,,,,,ZEB2-AS1,,TMEM204,,,,,,PLEK,,
EEF1B2,,NOS3,,,,,FCGRT,,KLRC1,,LMAN2,,,,,ZNF600,,TMEM63A,,,,,,PPM1B,,
EEF1D,,NPDC1,,,,,CORO1A,,KLRC2,,LMF1,,,,,,,TNFSF8,,,,,,PRDM1,,
EIF4A2,,PDE2A,,,,,SH3BGRL3,,KLRC3,,LMTK3,,,,,,,TOMM7,,,,,,PRSS23,,
ERP29,,PD-ECGF,,,,,GSTO1,,KLRD1,,LYPD6B,,,,,,,TPCN1,,,,,,PTGIR,,
EVI2B,,PDGFA,,,,,HCST,,KLRF1,,MANEA,,,,,,,TRABD2A,,,,,,RNF214,,
FAIM3,,PD-L1,,,,,LGALS3,,KLRG1,,MANF,,,,,,,TRAP1,,,,,,RTKN2,,
FAM129C,,PECAM1,,,,,PGK1,,KLRK1,,MEI1,,,,,,,TRMT1,,,,,,S1PR4,,
FAM65B,,PIEZO1,,,,,ANXA1,,L1TD1,,MIXL1,,,,,,,TSHZ2,,,,,,SAMHD1,,
FAU,,PKP4,,,,,TMBIM6,,LAG3,,MOXD1,,,,,,,TXK,,,,,,SELPLG,,
FCER2,,PLA2G4C,,,,,SPI1,,LDB3,,MYDGF,,,,,,,UBQLN2,,,,,,SIT1,,
FCGR2A,,PLVAP,,,,,FXYD5,,LTB,,MYL2,,,,,,,VIPR1,,,,,,SMAD2,,
FCGR2B,,PODXL,,,,,ATP6V0B,,MAPRE3,,MZB1,,,,,,,WDR43,,,,,,SMAD4,,
FCMR,,PPM1F,,,,,CTSH,,MCM3AP,,NXPE4,,,,,,,ZNF101,,,,,,SNX20,,
FCRL1,,PRCP,,,,,HLA-DQB1,,MKI67,,PAIP2B,,,,,,,,,,,,,SOCS1,,
FCRL2,,PTPRB,,,,,PYCARD,,MME,,PARM1,,,,,,,,,,,,,ST8SIA4,,
FCRL3,,PVRL2,,,,,TSPO,,MRC2,,PDIA4,,,,,,,,,,,,,STAB1,,
FCRL5,,RAI14,,,,,PFN1,,MXRA8,,PDIA6,,,,,,,,,,,,,STAM,,
FCRLA,,RAMP2,,,,,ARPC3,,NCAM1,,PERP,,,,,,,,,,,,,STAT5A,,
FMC7,,RAMP3,,,,,FOS,,NCR1,,PIK3CD-AS2,,,,,,,,,,,,,STAT5B,,
